,Author,Date,body
3518,jason lamb,2016-06-14,can t verify the recaptcha   an endless loop of attempt try just to log in  can only wonder what else will bomb if i ever manage to log in?
3519,pilladi nagavikas,2016-06-14,nice
3520,arasa kumaran,2016-06-14,very slow            
3521,siddharth mehta,2016-06-14,stupid
3522,anup damani,2016-06-14,news all
3523,amr elshami,2016-06-14,make me connect with all person interested to call me for my career
3524,olaore olu,2016-06-14,neatly
3525,haitham ali,2016-06-14,i m tring to login it say invalid password   i have change the password three time and still i can t use the  
3526,varun gupta,2016-06-14,b
3527,grace anuforo,2016-06-14,it s a very professional one and help to connect with great minds  link in create opportunity
3528,tejas m r ,2016-06-14,have all the feature of a desktop version can be lighter and easier to load as with slow connection will not work properly
3529,gokila devi,2016-06-14,super
3530,prasanta pal,2016-06-14,love for what it does 
3531,donald meteny,2016-06-14,this be just blah  need a wow factor 
3532,tushar raj,2016-06-14,when i m be select education or any other option in volenteer experience  u0026amp  cause   it change the value to the timeline with the next option available in the scroll menu bar  suppose if i ll select the education option it will show the environment on my profile but when i will go for an edit it remain education please correct the datum fetch problem as soon as possible because it will reflect my profile
3533,shariful islam,2016-06-14,nice
3534,bandar al abbasi,2016-06-14,
3535,tapan surati,2016-06-14,                    
3536,kavita kottol,2016-06-14,i really love this lication
3537,jitu nd,2016-06-14,excellent
3538,freddy panjaitan,2016-06-14,good
3539,dikshant kumar singh,2016-06-14,like very much we can connect to people 
3540,andr  s sarmiento,2016-06-14,please if you re go to emb the android web view make sure that it can display the content of the page first  otherwise the itself it s useless hence the one star 
3541,patricia dunmeyer,2016-06-14,look for job for self and other and this have become more of a social media 
3542,erick berto,2016-06-14,nice
3543,anil unni,2016-06-14,it be so impressive because we can know the latest invention from this  on the whole i really like it
3544,david herring,2016-06-14,i download the this morning and everything be fine  now im try to get on it again and its tell me that im used an unsupported browser  other than that it be not a bad
3545,johnny tucker,2016-06-14,i have no complaint so far that is 
3546,paul wagner,2016-06-14,my password for desktop and mobile isn t be accept on the   even after reset my pw no dice 
3547,najuru deen,2016-06-14,good  recent update have problem with lazy loading in connection list page 
3548,andrew osazee asemota ikponmwonba,2016-06-14,link in be a nice place to be if you know what you be look for 
3549,hosang khandhadia,2016-06-14,good n knowledgeable
3550,richard r,2016-06-14,horribly intrusive
3551,amosy mayambwe,2016-06-14,nimeipenda sana
3552,amit bansal,2016-06-14,bloated slow irritating  now uninstalled 
3553,vicki kirksey,2016-06-14,nursing dr a office can do front and back office have do management and office manager
3554,anuvrat saboo,2016-06-14,please try to integrate a business card feature wherein every user have a qr code and upon scanning the qr code the business card be e transfer to the scanner this can save ton of paper and not to state the obvious be much easier than keep load of business card as one can sort through them easily  consider commercial lication also !
3555,mark martinez,2016-06-14,project manager
3556,bartosz chajek,2016-06-14,be great now useless get blank screen after captcha 
3557,abhijeet surve,2016-06-14,better
3558,ron finklestein,2016-06-14,have room for improvement but a very good   last few week it just doesn t work  it s quite frustrate cuz i use it a lot of my mobile phone 
3559,qaisar abbas,2016-06-14,hai
3560,gamal gomaa,2016-06-14,excellent
3561,chea muoykry,2016-06-14,i love it very much
3562,alvaro agust  n mart  n vega,2016-06-14,loading page and problem with security issues  ask login all time  awful
3563,bethany rose moore,2016-06-14,the flawed recaptcha model just win t let me log in  utterly unusable 
3564,alok verma,2016-06-14,i be unable to sign in in   be there any bug
3565,sunil bohra,2016-06-14,sunil bohra advocate c a
3566,norman taduran,2016-06-14,amazing
3567,keith wilhelm,2016-06-14,linkdin be a wonderful tool  however ive have to uninstall and reinstall the so many time because it just stop load my feed and stop be able to search for people  update doesnt even work and my phone be less than a year old  linkden be great this just have serious stability issues 
3568,neil marshall,2016-06-14,every section do not work and be pointless as just get a search box ever time i press anything  delete until you fix it 
3569,david berger,2016-06-14,great for networking 
3570,melvic gomez,2016-06-13,too many error at end point 
3571,faisyal muhamad,2016-06-13,ker u0026amp 
3572,rohit mehta,2016-06-13,its awesome
3573,vasi abbas,2016-06-13,the news of get buy by microsoft get out and already the new update be buggy  on a note 3 the latest update win t start the with google smart lock  after the security check screen it s just a white screen that win t load anything 
3574,virender gupta,2016-06-13,best
3575,fajar ilhamy,2016-06-13,like it
3576,rajan khosla,2016-06-13,work with india s top most medical device company 
3577,ahmed fci,2016-06-13,excellent
3578,ahmed shaaban,2016-06-13,welcome to microsoft world
3579,prasanna ganapathy,2016-06-13,fix the bug to give better rating
3580,sachin kumar,2016-06-13,nice for search job i do not have to pay for consaltansy for sdarch job for me
3581,nguyen van binh,2016-06-13,je l aime bien !
3582,virendra agarwal,2016-06-13,nice
3583,olonade akinropo,2016-06-13,easy to use
3584,josh white,2016-06-13,keep alternate between captcha check and say bad username or password when it be correct
3585,marion sayles,2016-06-13,information
3586,chris white,2016-06-13,nexus 5 fully upgrade after recaptcha nothing but a blank screen  chocolate fireguard have more go for it right now 
3587,kountou coulibaly,2016-06-13,this be the best place to find the professionnal people share experience call the best relationships  i love  
3588,arjun g,2016-06-13,nice
3589,john jimenez,2016-06-13,i cant even use the   it tell me that it s a browser problem even if i open my account from the  
3590,divesh agarwal,2016-06-13,very much useful n connect you give you a lot of learn exposure about industry requirement and trend go on across globe 
3591,vishal chandela,2016-06-13,bast
3592,chilukoti nikhil,2016-06-13,awesome
3593,jahangir syed,2016-06-13,good
3594,camotes advertising portal,2016-06-13,amazing
3595,marijn pool,2016-06-13,design can be better
3596,v k dwivedi,2016-06-13,i be hy with this product
3597,randy boughton,2016-06-13,i be really very frustrated in try to get my site to function properly   for me it sure doesn t seem to be very user friendly at all! at least from what i have see so far  i also have an old useless account on here that i haven t utilize in pretty close to 10 to 15 year and i can t seem to even find how to close it out or delete it! i may have a 3rd site on here or more start on from previous attempt here as well! at this point i really be get very close to give up on all of this stuff! i understand that be suppose to be the cream of the site for find a job  i couldn t prove that from what i have see so far  yes sign on join and good luck to you! that s my experience to this point  be i impress with ? not from my experience now and when i try it year ago! good luck!!
3598,derek lowe,2016-06-13,take to long to get in to the link
3599,joseph peter,2016-06-13,i must be dumber than i thought  during the i m not a robot phase the asks you to click on all pictures containing rivers to prove you re real this is already after certain other tests have been passed  arently i need to go back to school because it kept looping me  u0026amp  i got irritated  u0026amp  uninstalled      facebook has over 1b linkin has 50mil maybe other people also don t know what a bird river or tree is according your standards      i ll stick with facebook 
3600,lance vanderyacht,2016-06-13,not sure yet really
3601,a google user,2016-06-13,can t save picture
3602,nitin vaidya,2016-06-13,excellent
3603,anand nain,2016-06-13,very informative and educational
3604,anil kumar,2016-06-13,not able to login once installed  disoint
3605,nadeem lutfullah,2016-06-13,xxxxxxx
3606,ganesh kshirsagar,2016-06-13,it s an easy way to stay connected with professional world        
3607,oresotu olusegun,2016-06-13,keep the good work go
3608,rahim shah,2016-06-13,man
3609,ajit mane,2016-06-13,
3610,harsh sharma,2016-06-13,try to back on track
3611,e solutions,2016-06-13,like
3612,karthik rt,2016-06-13,it s nothing to say much as simple as it is  
3613,neil oortman,2016-06-13,male
3614,lubna javed,2016-06-13,a very good network of professional
3615,tony porter,2016-06-13,image so small cant make them out  after 10 attempt of utter frustration  i give in uninstalling 
3616,roar management,2016-06-13,its good connection for business and employee vs employer
3617,abhishek d,2016-06-13,ok
3618,aby mursalin,2016-06-13,the best
3619,martyn lindley,2016-06-13,decent
3620,chris white,2016-06-13,nexus 5 fully upgrade after recaptcha nothing but a blank screen  chocolate fireguard have more go for it right now 
3621,kiran patel,2016-06-13,student visa for abroad
3622,harish mahore,2016-06-13,log in this site be very difficult task 
3623,sushma chauhan,2016-06-13,try to under stand
3624,ziranay torres,2016-06-13,medium consultant
3625,ajit karde,2016-06-13,very useful
3626,asiya shireen,2016-06-13,too good  
3627,minakshi tanti,2016-06-13,
3628,shubham kumar,2016-06-13,it s very good
3629,namutabo nyambe,2016-06-13,its not as easy to use as face book but its okey
3630,jehangir ahmad,2016-06-13,great
3631,mike watkins,2016-06-13,nice
3632,saurabh singh,2016-06-13,all over elegant  love it 
3633,mudassir mehmood,2016-06-13,excellent
3634,oladapo george,2016-06-13,i
3635,leo trickel,2016-06-13,superb!
3636,kamal gautam,2016-06-13,kamal kumar gautam
