,Author,Date,body,Class
3562,bridget ciemniecki,2016-06-21,all these comment must be fake bc it be not useful  it didn t work  i add a photo it go to file  i try to move it to gallery it didn t work  then it go on to delete my important photo completely  f you guys ,1.0
3563,dino yusuf,2016-06-21,good s,
3564,jonathan meza,2016-06-21,last update don t let me see any link,1.0
3565,ssgbdyou tik,2016-06-21,thank,
3566,mahad abdi mohamed,2016-06-21,itis usefull for me i store my photo specialy its usefull when i change my phone to other only i use my account,
3567,juliette kirby kirby,2016-06-21,i be please now i can save my pics ,
3568,kughong reuben,2016-06-21,best for backup,
3569,bilal khan,2016-06-21,nice,
3570,arisya fanr,2016-06-21,useful  ,
3571,riyaz motha,2016-06-21,best in the world,
3572,deepesh b kenwar,2016-06-21,absolutely love it,
3573,                                                 ,2016-06-21,                                                                                                                                                                                                                   ,
3574,khan babar,2016-06-21,its just ok,
3575,jannet seccurity services,2016-06-21,i be used for over 3 year now and it be a secure complete  u0026amp  most reliable solution of my storage and sharing needs ,
3576,drew holtzapfel,2016-06-21,i start used in college  great program and great   suggestion allow us to pick the default folder when first open the   i don t like the recent file screen,1.0
3577,beryl kinsela,2016-06-21,this just do not work at all ,
3578,boocheang khoo john,2016-06-21,the older version can be used without upgrade bravo now it s a ok,
3579,elizabeth brito,2016-06-21,i download and verify email but still cannot access ,1.0
3580,tf ahmed,2016-06-21,please dont download this  alway they release update of no worth but just to waste your time,1.0
3581,avitash raj,2016-06-21,superb,
3582,amarildo boni,2016-06-21,when i try to delete a photo it crash,1.0
3583,chris zafron,2016-06-21,good one  ,
3584,ahmed abdo,2016-06-21,it s ok uptil now,
3585,marwan mahmoud,2016-06-21,i cant sign in,1.0
3586,gunitlink01,2016-06-21,be s a great ! i be also used drposynk on my car android head unit to online synk my car music library,
3587,rohan kashyap,2016-06-21,regard,
3588,pradip gohil,2016-06-21,nice and good very useful,
3589,amir ordabayev,2016-06-21,those guys who created it great people!     ,
3590,a ali,2016-06-21,very good,
3591,dinesh rathod,2016-06-21,i love this,
3592,adrian's adventure,2016-06-21,love,
3593,vergie hadiana,2016-06-21,sangat gampang digunakan untuk membackup data data yang pent foto video atau dokumen ,
3594,bob e,2016-06-21,great for ur mobile and laptop    ,
3595,jehan du plessis,2016-06-21,die voto gaan nie van self op drop box nie jy moet dit daar sit dit sak,
3596,jonathan hills,2016-06-21,i agree with bridget cimniecki,
3597,abhay patel,2016-06-21,all the document and photo be available anywhere  the folder system be easy and friendly,
3598,isaka kivevele,2016-06-21,ckm,
3599,sapna agarwal,2016-06-21,wow,
3600,alicem martinez,2016-06-21,very good,
3601,elina h,2016-06-21,after year of have 50gb of free storage have decide to reduce it to 5gb  i currently use around 40gb so basically all those file will be go unless i pay a monthly fee  so stupid  i would have never download and used it if they be go to do a bait and switch!,
3602,hossein moghareh abed,2016-06-21,ok,
3603,teo minyi,2016-06-21,i love so much but they didn t tell us that our free space we have earn for invite our friend have an expiry date until about a month before i be extremely upset  u0026amp  disointed  should have tell us ,
3604,sangeeta bhati,2016-06-21,awesome,
3605,theodore gerwer,2016-06-21,great,
3606,ishan malhotra,2016-06-21,good,
3607,ashraf mughal,2016-06-21,one of the amazing link i really reciate it s development,
3608,bart boryczko,2016-06-21,please post an actual change log  please inform us about what change you re make and what bug you be squashing ,1.0
3609,yang nguyen,2016-06-21,good upload and download speed but not much space to store  also it take a huge ram background that make my phone lag so much,1.0
3610,jessica bell,2016-06-21,i have used this for year on several different devices  it work perfect!,
3611,                   ,2016-06-21,,
3612,arkangel media,2016-06-21,good stuff ,
3613,yahya simplesite,2016-06-21,llov this,
3614,carolyn s  harden,2016-06-21,some pics never download to drpbx the other    of my pics are missing saying thumbnail failed to load  u0026amp  pics are jumbled all over in files  u0026amp  folders w dates they weren t taken  for instance it s june 2016  u0026amp  my folder says sept  2002????!!! what s up with that?,
3615,roy kerr,2016-06-21,easy to use,
3616,roya ansari,2016-06-21,i would have like to be move into sd in the lication box so that it doesn t decrease my cell phone internal ram capacity,1.0
3617,danny mcguigan,2016-06-21,easy to use if u have trouble used the then your a dumbass laugh out loud,
3618,mrittyunjay saha,2016-06-21,usefull,
3619,zyber thaqi,2016-06-21,no count number for notification on icon in drawer!,1.0
3620,don pulubi,2016-06-21,                    ,
3621,a google user,2016-06-21,super,
3622,oxon technology,2016-06-21,excellent,
3623,mata vukadin,2016-06-21,super,
3624,ezequiel soto,2016-06-21,i like it it s as i expected!,
3625,misty nation,2016-06-20,out go call,
3626,alisha cutrone,2016-06-20,it s save enough information ,
3627,maria howard,2016-06-20,love it and work well,
3628,kusuma dewantara,2016-06-20,nice !,
3629,sinan sinanmv,2016-06-20,good,
3630,nizam muddin,2016-06-20,super,
3631,john dicintio,2016-06-20,valuable as a photo reference tool,
3632,muhammad adnan,2016-06-20,great,
3633,mohammed mustafa,2016-06-20,sick my white,
3634,jailyn morton,2016-06-20,it s somewhat helpful because i don t know where some stuff is ,
3635,manuel jabla lapus,2016-06-20,good,
3636,nomilef ecrotnas ii,2016-06-20,excellent!!!,
3637,veronica chamberlain,2016-06-20,this be confusing!!,
3638,rebecca tate,2016-06-20,i follow all the instruction for open file share with me and i still can t access any of my files  it shouldn t be this hard ,1.0
3639,samuel menjivar,2016-06-20,great for resete a phone and forget to back up picture,1.0
3640,eli  zer graterol abreu,2016-06-20,perfect productivity,
3641,daniel luna,2016-06-20,ok,
3642,praveen nayak,2016-06-20,oaosbdjd,
3643,ajeng widya kirana,2016-06-20,top lahhh ,
3644,paul padathuveettil,2016-06-20,nice program to keep your all file here,
3645,reyes guzman,2016-06-20,awesome,
3646,simon blair,2016-06-20,after the most recent update will no longer recognize some of the photo on my phone when i try to upload then all at once,1.0
3647,alex lopez,2016-06-20,great,
3648,dinesh kumar sahu,2016-06-20,superb storage,
3649,henrylene lulla,2016-06-20,kordami,
3650,pankaj kumar,2016-06-20,superb,
3651,rahul snowwhite,2016-06-20,good,
3652,mahaveer prasad,2016-06-20,                                           ,
3653,saud ali khan,2016-06-20,very gud for save pic,
3654,dmitriy kozyr,2016-06-20,i like this very useful ,
3655,muhammad roehil 'ammar,2016-06-20,just love it ,
3656,do g,2016-06-20,great   just what i need!,
3657,sim x,2016-06-20,1 star for now default to recent on open  put in an extra step decrease usability  poor call ,
3658,m i samrat,2016-06-20,this be really awsome ,
3659,prashanth inaparthi,2016-06-20,useful one,
3660,zulaikha yuli,2016-06-20,yes it s cool s! love it!,
3661,ramesh desai,2016-06-20,nice,
3662,jerry thomas,2016-06-20,very easy and simple file sharing,
3663,sundar s,2016-06-20,not at all working say unfortunately stop  ,1.0
3664,ganesh undre,2016-06-20,mast,
3665,haseeb sheikh,2016-06-20,v nice,
3666,john paul lopez taberdo,2016-06-20,nice   seem to work as it should all the time  i wish it have some way of mimic the file structure on my phone though  when i download stuff i have to try to find it in download which become hectic after a while ,
3667,giorgos theodorakis,2016-06-20,nexus5x  some folder do not ear in interface although they be sync on cloud  try already to wipe cache partition uninstall and link pc  very disointed since i have order premium   it should be more stable and robust for premium user,1.0
3668,blagatt,2016-06-20,need a brief changelog in the store when update be release,2.0
3669,neeraj pandit,2016-06-20,gud i give 5 star,
3670,sohel ahmed,2016-06-20,so what special have this ?,
3671,rajesh kumar,2016-06-20,you guy provide so less a space so much lower than the google drive ,
3672,atul rai,2016-06-20,good,
3673,lynn wangai,2016-06-20,,
3674,bud bennett,2016-06-20,outstanding,
3675,eric pinto,2016-06-20,open your docs on any device,
3676,marion illingworth,2016-06-20,very useful,
3677,lauria livan,2016-06-20,i move some photo to album and delete the other all my photo go include the photo in album  damn it,1.0
3678,abel ekene,2016-06-20,wonderful    i must admit,
3679,jeffrey dodd,2016-06-20,i m very disointed right now  i be uploading duplicate photos  this need to be addressed ,
3680,asif khan,2016-06-20,look all hr matter,
3681,silivani habi,2016-06-20,speechless,
3682,thiru sk,2016-06-20,his very useful,
3683,hana ashraf,2016-06-20,i like it it be nice i will give you 4 star,
3684,muhammad ali,2016-06-20,easy to use,
3685,mohd muju,2016-06-20,love,
3686,marie evangelista,2016-06-20,r,
3687,islamic video,2016-06-20,like it,
3688,wayne wakefield,2016-06-20,i put it into my cell phone twice  both time it cause problems  the last time it lock up my phone and the service tech have a heck of a time try to delete it and get my phone to work again ,1.0
3689,ron schaefer,2016-06-20,easy to use easy to share,
3690,pothu sridhar,2016-06-20,good,
3691,luis alfaro,2016-06-20,very good,
3692,khet singh shekhawat,2016-06-20,fantastic,
3693,james ben sanders,2016-06-20,like have such easy access to everything from everywhere  when my phone die i be so glad i d back all the important stuff up used  ,
3694,piya sharma,2016-06-20,awsome cloud storage,
3695,josh utley,2016-06-20,great,
3696,monica van hoof,2016-06-20,great way to storage your file and you can open it from any device,
3697,j c  beaumont,2016-06-20,this do exactly what it say and be super user friendly ,
3698,alan orchard,2016-06-20,spot on so good so far,
3699,red and black,2016-06-20,best storage  ,
3700,suren kamboj,2016-06-20,good for any lication saved,
3701,chhornchan vuthy,2016-06-20,ok,
3702,vinaya vinu,2016-06-20,wow bes    ,
3703,eric wildner,2016-06-20,ic okay,
3704,mary hill,2016-06-20,family and friend,
3705,raj dhiman,2016-06-19,help me to share big files ,
3706,helmy nizar,2016-06-19,im go to never ever used anymore as long recent file tab still exist and can t clear it very dissapointed,1.0
3707,a google user,2016-06-19,the billion dollar company that only allow you to upload up to 10 picture at a time ,
3708,teacher cee,2016-06-19,love the and it come in handy that if anything hen to my phone i don t have to worry about lose my pics! love it!,
3709,maryam shah,2016-06-19,can you add the feature of open several account at a time?,2.0
3710,dan filbert,2016-06-19,hit,
3711,ch sagheer,2016-06-19,gud,
3712,gholamreza shadipoor,2016-06-19,thank boy,
3713,nazeef qureshi,2016-06-19,simple fast easy secure  i cant find a reason to hate it     ,1.0
